"CN","PLT_CN","PREV_SIT_CN","INVYR","STATECD","UNITCD","COUNTYCD","PLOT","CONDID","TREE","SPCD","DIA","HT","AGEDIA","SPGRPCD","SITREE","SIBASE","SUBP","AZIMUTH","DIST","METHOD","SITREE_EST","VALIDCD","CREATED_BY","CREATED_DATE","CREATED_IN_INSTANCE","MODIFIED_BY","MODIFIED_DATE","MODIFIED_IN_INSTANCE","CYCLE","SUBCYCLE"
"13113141010497","13113133010497","",2005,6,5,9,83728,1,2,202,24.3,103,78,10,81,100,1,308,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13113144010497","13113133010497","",2005,6,5,9,83728,1,5,202,14.9,77,35,10,95,100,1,316,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13146790010497","13146773010497","",2005,6,2,89,73455,3,4,202,31.8,113,103,10,61,50,2,328,83.3,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13146789010497","13146773010497","",2005,6,2,89,73455,3,3,117,28.4,103,87,14,61,50,2,222,16.9,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13146787010497","13146773010497","",2005,6,2,89,73455,1,1,202,25.7,111,115,10,57,50,1,142,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13146788010497","13146773010497","",2005,6,2,89,73455,3,2,202,33.9,107,81,10,66,50,1,48,85.5,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13146990010497","13146980010497","",2005,6,2,89,52664,1,4,122,15,75,37,11,79,50,1,246,22.2,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13146989010497","13146980010497","",2005,6,2,89,52664,1,3,15,13.3,86,42,12,82,50,1,231,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13146988010497","13146980010497","",2005,6,2,89,52664,1,2,122,18,109,48,11,94,50,1,149,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13151012010497","13151005010497","",2005,6,2,89,58146,1,1,15,23.2,77,71,12,51,50,1,159,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13151015010497","13151005010497","",2005,6,2,89,58146,1,4,117,26.8,95,53,14,77,50,4,223,10,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13151016010497","13151005010497","",2005,6,2,89,58146,1,5,117,25.8,100,45,14,91,50,4,294,45.2,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13151014010497","13151005010497","",2005,6,2,89,58146,1,3,15,20.6,97,70,12,65,50,1,248,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13151013010497","13151005010497","",2005,6,2,89,58146,1,2,15,15.7,71,44,12,66,50,1,226,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13084072010497","13084056010497","",2005,6,2,35,76215,3,1,116,30.4,64,86,11,70,50,2,207,277.4,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13157458010497","13157449010497","",2005,6,3,61,66914,1,3,15,24.8,90,149,12,41,50,3,27,47.4,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13157456010497","13157449010497","",2005,6,3,61,66914,1,1,15,28.9,129,139,12,60,50,2,194,50.3,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13157457010497","13157449010497","",2005,6,3,61,66914,1,2,15,23.7,101,76,12,65,50,3,188,40.5,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13157759010497","13157752010497","",2005,6,3,61,76054,1,1,20,22.5,84,64,12,50,50,1,64,61.5,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13157761010497","13157752010497","",2005,6,3,61,76054,1,3,20,17.4,90,54,12,62,50,2,35,93.1,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13157760010497","13157752010497","",2005,6,3,61,76054,1,2,20,22.3,94,58,12,61,50,2,26,87.5,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13127895010497","13127884010497","",2005,6,2,93,59673,1,3,202,15.5,52,33,10,60,50,2,23,25.1,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13127897010497","13127884010497","",2005,6,2,93,59673,1,2,202,11.8,65,34,10,73,50,1,340,21.7,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13127896010497","13127884010497","",2005,6,2,93,59673,1,1,202,28.1,112,91,10,65,50,4,155,15.2,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13128381010497","13128372010497","",2005,6,2,93,95230,1,3,202,21.1,132,155,10,59,50,3,209,40,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13128380010497","13128372010497","",2005,6,2,93,95230,1,2,202,20.9,107,74,10,70,50,1,83,18.7,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13128379010497","13128372010497","",2005,6,2,93,95230,1,1,202,25.1,138,93,10,79,50,2,150,14.8,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13171560010497","13171555010497","",2005,6,5,19,55548,1,1,101,5.6,23,110,24,23,100,1,319,23.6,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13110806010497","13110796010497","",2005,6,3,7,95303,1,1,202,15.2,81,67,10,56,50,3,21,90.1,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13110808010497","13110796010497","",2005,6,3,7,95303,1,3,202,14.7,83,77,10,53,50,1,108,11.7,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13110807010497","13110796010497","",2005,6,3,7,95303,1,2,202,12.5,88,70,10,59,50,1,51,9.4,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13111043010497","13111024010497","",2005,6,3,7,58372,1,8,117,28.3,102,61,14,75,50,3,10,23,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13111042010497","13111024010497","",2005,6,3,7,58372,1,7,122,26.2,99,89,11,58,50,1,64,9.1,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13111037010497","13111024010497","",2005,6,3,7,58372,1,2,202,21.6,96,57,10,74,50,1,120,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13111039010497","13111024010497","",2005,6,3,7,58372,1,4,15,14.8,73,60,12,54,50,1,54,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13111041010497","13111024010497","",2005,6,3,7,58372,1,6,122,20.6,78,38,11,80,50,3,68,3.2,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13111040010497","13111024010497","",2005,6,3,7,58372,1,5,202,20.6,79,63,10,57,50,1,203,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13111038010497","13111024010497","",2005,6,3,7,58372,1,3,15,30.6,128,96,12,72,50,1,27,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13111036010497","13111024010497","",2005,6,3,7,58372,1,1,122,17.1,81,54,11,65,50,1,180,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13147752010497","13147735010497","",2005,6,2,89,83577,1,3,202,23.3,83,90,10,48,50,1,52,77.2,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13147749010497","13147735010497","",2005,6,2,89,83577,1,2,122,25.3,96,181,11,40,50,1,119,53.9,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13147746010497","13147735010497","",2005,6,2,89,83577,1,1,122,30.3,111,211,11,44,50,1,344,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13119268010497","13119260010497","",2005,6,5,109,59609,1,2,15,22.2,105,68,12,72,50,2,53,30.9,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13119269010497","13119260010497","",2005,6,5,109,59609,1,3,15,27.3,111,94,12,63,50,2,213,19,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13119267010497","13119260010497","",2005,6,5,109,59609,1,1,15,25.1,93,105,12,50,50,1,196,11.2,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13119780010497","13119769010497","",2005,6,5,109,75004,1,2,122,25.6,89,86,11,53,50,1,265,23.5,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13119781010497","13119769010497","",2005,6,5,109,75004,2,3,122,16.8,70,42,11,117,50,4,227,25.9,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13119779010497","13119769010497","",2005,6,5,109,75004,2,1,122,20.1,98,60,11,128,50,1,,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13119993010497","13119980010497","",2005,6,5,109,92144,1,3,108,17.4,51,100,21,54,100,4,176,22.6,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13119992010497","13119980010497","",2005,6,5,109,92144,1,2,108,11.9,37,79,21,47,100,2,226,12.2,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13119991010497","13119980010497","",2005,6,5,109,92144,1,1,108,12.6,39,86,21,46,100,4,226,22.2,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13120244010497","13120235010497","",2005,6,5,109,67272,1,3,122,19.9,88,150,11,75,50,2,330,35.4,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13120243010497","13120235010497","",2005,6,5,109,67272,1,2,122,14.8,66,86,11,72,50,2,49,66.2,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13120242010497","13120235010497","",2005,6,5,109,67272,1,1,122,29.9,112,166,11,92,50,4,289,16.4,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13099537010497","13099527010497","",2005,6,1,15,63789,1,2,202,26.2,148,69,10,123,100,2,18,23.5,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13099534010497","13099527010497","",2005,6,1,15,63789,1,1,202,36.4,159,106,10,109,100,1,315,54.7,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13099538010497","13099527010497","",2005,6,1,15,63789,1,3,202,22.3,127,73,10,103,100,2,256,4.3,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13099870010497","13099861010497","",2005,6,3,17,72977,1,3,122,14.3,57,38,11,106,50,1,101,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13099869010497","13099861010497","",2005,6,3,17,72977,1,2,122,9.5,51,32,11,108,50,1,196,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13099868010497","13099861010497","",2005,6,3,17,72977,1,1,122,21.9,97,66,11,120,50,1,155,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13100110010497","13100101010497","",2005,6,3,17,87513,1,3,122,21.6,108,96,11,110,50,1,250,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13100109010497","13100101010497","",2005,6,3,17,87513,1,2,122,18.1,107,83,11,117,50,1,55,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13100108010497","13100101010497","",2005,6,3,17,87513,1,1,122,21.9,124,76,11,141,50,1,40,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13100111010497","13100101010497","",2005,6,3,17,87513,1,4,122,16.2,94,121,11,87,50,1,122,30.5,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13158940010497","13158924010497","",2005,6,3,61,98833,1,8,15,27.7,104,81,12,64,50,4,356,35.2,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13158935010497","13158924010497","",2005,6,3,61,98833,1,3,15,25.1,103,112,12,53,50,1,1,55.3,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13158933010497","13158924010497","",2005,6,3,61,98833,1,1,15,21.9,107,65,12,76,50,1,226,12.4,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13158939010497","13158924010497","",2005,6,3,61,98833,2,7,108,8,30,28,21,76,100,3,190,200,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13158937010497","13158924010497","",2005,6,3,61,98833,2,5,108,6.4,21,16,21,79,100,3,127,116,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13158938010497","13158924010497","",2005,6,3,61,98833,2,6,108,5.4,21,20,21,73,100,3,50,62,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13158936010497","13158924010497","",2005,6,3,61,98833,1,4,15,26,108,75,12,70,50,3,330,34.8,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13158934010497","13158924010497","",2005,6,3,61,98833,1,2,108,17.9,87,78,21,98,100,1,55,16.7,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13159281010497","13159272010497","",2005,6,3,61,88563,1,3,20,24.8,85,141,12,28,50,3,175,47.4,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13159279010497","13159272010497","",2005,6,3,61,88563,1,1,15,20.3,84,137,12,44,50,3,323,60.3,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13159282010497","13159272010497","",2005,6,3,61,88563,1,4,20,13.7,51,43,12,43,50,4,231,23.7,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13159280010497","13159272010497","",2005,6,3,61,88563,1,2,15,26.5,107,140,12,60,50,3,179,29.3,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13159616010497","13159599010497","",2005,6,3,63,57739,1,7,122,32.7,81,98,11,82,50,4,336,190,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13159612010497","13159599010497","",2005,6,3,63,57739,1,3,122,21.2,63,95,11,65,50,2,156,15.5,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13159611010497","13159599010497","",2005,6,3,63,57739,1,2,122,17.3,50,39,11,95,50,2,16,67,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13159615010497","13159599010497","",2005,6,3,63,57739,2,6,15,24.8,119,87,12,82,50,3,154,118,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13159614010497","13159599010497","",2005,6,3,63,57739,2,5,15,22.8,104,87,12,70,50,3,172,52,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13159613010497","13159599010497","",2005,6,3,63,57739,2,4,122,30.5,117,104,11,115,50,3,84,18.9,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13159610010497","13159599010497","",2005,6,3,63,57739,1,1,122,19.4,57,100,11,57,50,1,244,24.9,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13146014010497","13146006010497","",2005,6,2,89,50238,1,1,127,12.7,55,28,24,121,50,1,,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13172709010497","13172704010497","",2005,6,5,19,85107,1,1,116,16,42,55,11,66,50,4,94,37.4,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13071214010497","13071207010497","",2005,6,2,49,86290,1,1,122,25.1,77,89,11,82,50,4,186,159.9,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13184603010497","13184592010497","",2005,6,5,29,84007,1,3,116,22.3,82,75,11,96,50,4,310,62.3,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13184602010497","13184592010497","",2005,6,5,29,84007,1,2,116,23.8,82,123,11,76,50,3,158,37.4,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13184601010497","13184592010497","",2005,6,5,29,84007,1,1,116,21,79,92,11,82,50,1,343,89.3,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13127699010497","13127690010497","",2005,6,2,93,97663,1,3,122,26.2,82,187,11,65,50,3,357,13.8,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13127698010497","13127690010497","",2005,6,2,93,97663,1,2,122,24.6,71,137,11,63,50,1,28,36.1,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13127697010497","13127690010497","",2005,6,2,93,97663,1,1,122,25.3,73,111,11,70,50,2,58,30,1,,1,"",2006-02-23,"10497","",2017-01-11,"489998",5,5
"13095747010497","13095740010497","",2005,6,1,45,86295,1,1,202,17.1,65,36,10,80,100,1,320,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13095754010497","13095740010497","",2005,6,1,45,86295,1,8,202,14.1,82,85,10,63,100,2,334,33.4,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13095753010497","13095740010497","",2005,6,1,45,86295,1,7,202,18.1,81,89,10,61,100,2,306,18.5,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13095752010497","13095740010497","",2005,6,1,45,86295,1,6,202,20.3,55,52,10,54,100,1,68,15.3,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13095750010497","13095740010497","",2005,6,1,45,86295,1,4,202,16.4,85,41,10,94,100,1,299,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13095749010497","13095740010497","",2005,6,1,45,86295,1,3,202,12.1,82,33,10,105,100,1,72,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13095751010497","13095740010497","",2005,6,1,45,86295,1,5,202,10.7,59,43,10,67,100,1,184,17.3,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13095748010497","13095740010497","",2005,6,1,45,86295,1,2,202,11.5,75,32,10,99,100,1,154,,2,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13087597010497","13087590010497","",2005,6,5,39,97606,1,1,20,20.9,84,82,12,41,50,1,150,67.3,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13087599010497","13087590010497","",2005,6,5,39,97606,1,3,20,22.6,75,63,12,45,50,3,90,45.8,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13087598010497","13087590010497","",2005,6,5,39,97606,1,2,20,20.5,79,126,12,28,50,2,330,33.9,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13086977010497","13086968010497","",2005,6,5,39,56011,1,3,122,26.6,114,155,11,96,50,3,156,48.6,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13086976010497","13086968010497","",2005,6,5,39,56011,1,2,122,25.8,119,92,11,124,50,2,145,52.1,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"13086978010497","13086968010497","",2005,6,5,39,56011,2,4,122,18.1,61,59,11,85,50,4,180,132,1,,1,"",2006-02-23,"10497","",2016-12-15,"489998",5,5
"8925987010901","8925984010901","",2006,6,3,63,81089,1,6,116,19.8,50,123,11,46,50,1,344,90.9,1,,1,"",2007-05-01,"10901","",2016-12-15,"489998",5,6
"8925988010901","8925984010901","",2006,6,3,63,81089,1,7,116,16.9,39,117,11,36,50,2,252,31.8,1,,1,"",2007-05-01,"10901","",2016-12-15,"489998",5,6
"8925989010901","8925984010901","",2006,6,3,63,81089,1,8,116,14.7,30,117,11,28,50,4,241,45.7,1,,1,"",2007-05-01,"10901","",2016-12-15,"489998",5,6
"8926164010901","8926158010901","",2006,6,3,63,60183,1,3,202,35.4,120,238,10,45,50,4,267,105.9,1,,1,"",2007-05-01,"10901","",2016-12-15,"489998",5,6
"8926160010901","8926158010901","",2006,6,3,63,60183,1,1,202,46.1,132,355,10,45,50,4,24,36.9,1,,1,"",2007-05-01,"10901","",2016-12-15,"489998",5,6
